user,skill,item,correct,b4_correct,b4_incorrect
2454,23,984,1,0,0
2454,23,225,0,1,0
2454,23,5972,1,1,1
2454,23,1108,1,2,1
2454,23,2827,1,3,1
2454,23,828,1,4,1
2454,23,84,1,5,1
2454,19,1316,1,0,0
2454,19,6218,1,1,0
2454,19,196,1,2,0
2454,19,3311,1,3,0
2454,19,2566,1,4,0
2454,12,2246,0,0,0
2454,12,4235,1,0,1
2454,12,3445,1,1,1
2454,12,789,1,2,1
2454,12,1511,1,3,1
2454,12,4113,1,4,1
2454,12,909,1,5,1
2454,12,2500,1,6,1
2454,12,187,1,7,1
2454,12,967,1,8,1
2454,12,1037,0,9,1
2454,12,793,1,9,2
2454,12,188,1,10,2
2454,12,2501,0,11,2
2454,12,4247,0,11,3
2454,12,2562,0,11,4
2454,12,1522,0,11,5
604,9,4299,1,0,0
604,9,9449,0,1,0
604,9,12468,1,1,1
604,9,3627,1,2,1
604,9,1541,1,3,1
604,9,15005,1,4,1
604,9,15168,0,5,1
604,9,9968,1,5,2
604,9,11923,1,6,2
604,9,15218,1,7,2
604,23,15038,1,0,0
604,23,15107,1,1,0
604,23,15069,1,2,0
604,23,9792,1,3,0
604,23,89,0,4,0
604,23,15219,1,4,1
604,23,2429,1,5,1
604,23,14983,1,6,1
604,31,6405,0,0,0
604,46,6405,0,0,0
604,15,6405,0,0,0
604,31,10133,0,0,1
604,46,10133,0,0,1
604,15,10133,0,0,1
604,31,12301,0,0,2
604,46,12301,0,0,2
604,15,12301,0,0,2
604,31,8475,0,0,3
604,46,8475,0,0,3
604,15,8475,0,0,3
604,31,9681,0,0,4
604,46,9681,0,0,4
604,47,9681,0,0,0
604,20,9681,0,0,0
604,31,3691,1,0,5
604,46,3691,1,0,5
604,47,3691,1,0,1
604,20,3691,1,0,1
604,31,2489,1,1,5
604,46,2489,1,1,5
604,47,2489,1,1,1
604,20,2489,1,1,1
604,31,11877,0,2,5
604,46,11877,0,2,5
604,15,11877,0,0,4
604,31,5521,0,2,6
604,46,5521,0,2,6
604,47,5521,0,2,1
604,20,5521,0,2,1
604,31,5522,0,2,7
604,46,5522,0,2,7
604,15,5522,0,0,5
604,31,10133,0,2,8
604,46,10133,0,2,8
604,15,10133,0,0,6
604,31,8053,0,2,9
604,46,8053,0,2,9
604,47,8053,0,2,2
604,20,8053,0,2,2
604,31,9061,1,2,10
604,46,9061,1,2,10
604,15,9061,1,0,7
604,12,789,1,0,0
604,12,43,1,1,0
604,12,12659,1,2,0
604,12,961,0,3,0
604,12,1035,0,3,1
604,12,2952,1,3,2
604,12,3605,0,4,2
604,12,4948,0,4,3
604,12,2660,1,4,4
604,12,3607,1,5,4
604,12,185,0,6,4
604,12,2500,0,6,5
604,12,6296,0,6,6
604,12,2562,1,6,7
604,12,968,1,7,7
604,12,4121,1,8,7
604,12,4247,1,9,7
604,12,11275,0,10,7
604,12,5813,1,10,8
604,12,3300,1,11,8
604,12,6372,1,12,8
604,12,14960,1,13,8
604,12,4722,1,14,8
604,12,9851,1,15,8
604,12,6212,1,16,8
604,12,3603,1,17,8
604,12,5956,0,18,8
604,12,966,0,18,9
604,12,4275,0,18,10
604,12,3303,0,18,11
604,14,15220,1,0,0
604,14,6897,0,1,0
604,14,3213,0,1,1
604,14,4635,0,1,2
604,14,2858,1,1,3
604,14,5315,0,2,3
604,14,4467,1,2,4
604,14,8405,1,3,4
604,14,1859,1,4,4
604,20,5383,0,2,3
604,20,2679,0,2,4
604,20,200,1,2,5
604,20,1017,1,3,5
604,20,743,1,4,5
604,19,3171,0,0,0
3345,18,17500,1,0,0
3345,18,17501,0,1,0
3345,18,17502,1,1,1
3345,18,17503,0,2,1
3345,18,17492,1,2,2
3345,18,17493,1,3,2
3345,18,17494,1,4,2
3345,18,17495,1,5,2
3345,18,17451,1,6,2
3345,18,17452,1,7,2
3345,18,17453,1,8,2
3345,18,17454,1,9,2
3345,18,17447,1,10,2
3345,18,17448,0,11,2
3345,18,17449,1,11,3
3345,18,17450,1,12,3
3345,18,17496,0,13,3
3345,18,17497,1,13,4
3345,18,17498,1,14,4
3345,18,17499,1,15,4
3345,18,17511,1,16,4
3345,18,17512,0,17,4
3345,18,17513,1,17,5
3345,18,17514,1,18,5
3345,18,17504,1,19,5
3345,18,17505,1,20,5
3345,18,17506,1,21,5
3345,18,17507,1,22,5
3345,18,17459,0,23,5
3345,18,17460,1,23,6
3345,18,17461,1,24,6
3345,18,17462,1,25,6
3345,18,17455,1,26,6
3345,18,17456,1,27,6
3345,18,17457,1,28,6
3345,18,17458,1,29,6
3345,18,17702,1,30,6
3345,18,17703,0,31,6
3345,18,17704,0,31,7
3345,18,17685,1,31,8
3345,18,17686,1,32,8
3345,18,17687,1,33,8
3345,18,17652,1,34,8
3345,18,17653,1,35,8
3345,18,17654,1,36,8
3345,18,17705,1,37,8
3345,18,17706,1,38,8
3345,18,17707,0,39,8
3345,18,17708,1,39,9
3345,18,17709,1,40,9
3345,18,17710,0,41,9
3834,62,13097,1,0,0
3834,62,14375,1,1,0
3834,62,1472,0,2,0
2077,26,2729,1,0,0
2077,9,954,1,0,0
2077,23,15063,1,0,0
2077,23,12779,1,1,0
2077,23,2429,1,2,0
2077,23,2989,1,3,0
2077,23,8110,1,4,0
2077,12,965,0,0,0
2077,12,5833,1,0,1
2077,12,2661,1,1,1
2077,12,2252,1,2,1
2077,12,3607,1,3,1
2077,12,4076,0,4,1
2077,12,3606,1,4,2
2077,12,3302,1,5,2
2077,12,6642,1,6,2
2077,12,1033,1,7,2
2077,12,11927,1,8,2
2077,12,9796,1,9,2
2077,12,9105,1,10,2
2077,12,12668,1,11,2
2077,12,4237,1,12,2
2077,12,5261,1,13,2
2077,9,4748,0,1,0
2077,23,4748,0,5,0
2077,9,12216,1,1,1
2077,23,12216,1,5,1
2077,9,11394,1,2,1
2077,23,11394,1,6,1
2077,9,12217,1,3,1
2077,23,12217,1,7,1
2077,9,14904,1,4,1
2077,23,14904,1,8,1
2077,9,1795,1,5,1
2077,23,1795,1,9,1
2077,22,3906,1,0,0
2077,22,13734,1,1,0
2077,22,3850,1,2,0
2077,22,1787,1,3,0
2077,22,2823,1,4,0
2077,17,11242,0,0,0
2077,17,2412,1,0,1
2077,17,4077,1,1,1
2077,17,4279,1,2,1
2077,17,6764,1,3,1
2077,1,9238,0,0,0
2077,1,4232,1,0,1
2077,1,1952,1,1,1
2077,1,1951,1,2,1
2077,1,303,1,3,1
2077,1,5299,1,4,1
2077,1,2767,1,5,1
2077,55,4531,1,0,0
2077,11,4531,1,0,0
2077,55,13286,1,1,0
2077,11,13286,1,1,0
2077,55,1947,1,2,0
2077,11,1947,1,2,0
2077,11,771,1,3,0
2077,11,4555,1,4,0
2077,5,3096,1,0,0
2077,5,2906,1,1,0
2077,5,5868,1,2,0
2077,5,5348,1,3,0
2077,5,11536,1,4,0
2077,5,5000,1,5,0
2077,1,1741,1,6,1
2077,1,1283,1,7,1
2077,1,2655,1,8,1
2077,1,1285,1,9,1
2077,1,3828,1,10,1
2077,62,6569,0,0,0
2077,62,9146,0,0,1
2077,62,9147,0,0,2
2077,62,9148,1,0,3
2077,62,1426,1,1,3
2077,62,6054,0,2,3
2077,62,1476,1,2,4
2077,62,9494,0,3,4
2077,62,11898,1,3,5
2077,62,11899,0,4,5
2077,62,11900,1,4,6
2077,62,672,0,5,6
2077,62,9375,0,5,7
2077,62,9376,1,5,8
2077,62,9377,1,6,8
2077,62,8249,1,7,8
3728,62,5237,1,0,0
3728,63,3771,1,0,0
3728,63,5017,1,1,0
1246,51,941,1,0,0
1246,52,941,1,0,0
1246,51,4683,1,1,0
1246,52,4683,1,1,0
1246,52,5198,0,2,0
1246,57,7187,0,0,0
1246,57,1686,1,0,1
1246,57,7095,1,1,1
1246,57,9345,1,2,1
435,9,1542,1,0,0
435,59,2868,1,0,0
435,33,3070,1,0,0
435,10,2024,1,0,0
435,62,9986,1,0,0
435,38,7186,0,0,0
435,38,9656,1,0,1
435,38,9655,1,1,1
435,38,1688,1,2,1
435,55,10077,1,0,0
435,56,10077,1,0,0
435,80,10023,1,0,0
435,2,2673,1,0,0
435,61,571,1,0,0
435,61,7005,1,1,0
435,61,1218,0,2,0
435,61,1625,1,2,1
435,3,8841,1,0,0
435,3,1105,0,1,0
435,3,6150,1,1,1
435,3,8840,1,2,1
435,3,2986,0,3,1
435,13,6612,0,0,0
435,13,10038,1,0,1
435,0,10038,1,0,0
435,13,10037,1,1,1
435,0,10037,1,1,0
435,13,10036,1,2,1
435,0,10036,1,2,0
435,88,10047,1,0,0
435,2,13,1,1,0
435,38,3111,1,3,1
435,38,1413,1,4,1
435,38,3964,1,5,1
435,38,5514,1,6,1
435,38,1660,1,7,1
435,1,9974,0,0,0
435,1,7563,1,0,1
435,1,1853,1,1,1
435,1,9975,1,2,1
435,7,4708,1,0,0
435,34,6182,0,0,0
435,34,2872,1,0,1
435,34,2871,1,1,1
435,34,4567,1,2,1
435,34,1927,0,3,1
435,34,4566,1,3,2
435,14,308,0,0,0
435,14,4443,0,0,1
435,14,9984,0,0,2
435,14,6792,0,0,3
435,14,1677,1,0,4
435,14,1675,1,1,4
435,14,3458,1,2,4
435,14,2773,1,3,4
435,38,9658,1,8,1
435,49,7031,1,0,0
435,62,6940,1,1,0
435,62,10013,1,2,0
435,62,10012,1,3,0
435,62,10011,0,4,0
435,57,8514,1,0,0
435,57,9345,1,1,0
435,57,1687,0,2,0
435,57,926,1,2,1
435,83,10026,1,0,0
435,83,9825,0,1,0
435,83,10025,0,1,1
435,83,10028,1,1,2
435,83,10024,0,2,2
435,83,7402,1,2,3
435,83,10027,1,3,3
435,26,1359,1,0,0
435,62,1477,1,4,1
435,18,9977,1,0,0
435,51,4520,1,0,0
435,54,4520,1,0,0
435,51,848,1,1,0
435,54,848,1,1,0
435,31,7533,1,0,0
435,15,7533,1,0,0
435,31,5531,1,1,0
435,47,5531,1,0,0
435,28,5531,1,0,0
