user,skill,item,correct,b4_correct,b4_incorrect
2695,8,3183,1,0,0
2695,8,11961,1,1,0
2695,8,12329,1,2,0
2695,8,16154,1,3,0
2695,8,15470,1,4,0
2695,8,14848,1,5,0
2695,8,5285,1,6,0
2695,8,4752,1,7,0
2695,8,1801,1,8,0
2695,8,6523,1,9,0
2695,5,4529,1,0,0
2695,5,3280,1,1,0
2695,5,5869,1,2,0
2695,5,6320,1,3,0
2695,5,1537,1,4,0
2695,5,2692,1,5,0
2695,5,2822,1,6,0
2695,5,2421,1,7,0
2695,5,11262,1,8,0
2695,5,1854,1,9,0
2695,5,4792,1,10,0
2695,5,13411,1,11,0
2695,5,3370,1,12,0
2695,5,3031,0,13,0
2695,5,1855,1,13,1
2695,5,933,1,14,1
2695,5,2471,1,15,1
2695,5,2924,1,16,1
2695,5,755,1,17,1
2695,2,13359,1,0,0
2695,2,12505,1,1,0
2695,2,4079,1,2,0
2695,2,1545,1,3,0
2695,2,3092,1,4,0
2695,2,14304,1,5,0
2695,2,14914,1,6,0
2695,2,2648,1,7,0
2695,2,1327,1,8,0
2695,2,1745,1,9,0
2695,21,1646,0,0,0
2695,21,169,1,0,1
2695,21,209,1,1,1
2695,21,1534,1,2,1
2695,21,2683,0,3,1
2695,21,66,1,3,2
2695,21,1778,0,4,2
2695,21,13725,1,4,3
2695,21,271,1,5,3
2695,21,3681,1,6,3
2695,22,3325,1,0,0
2695,21,6220,1,7,3
2695,21,5271,1,8,3
2695,22,1018,1,1,0
2695,22,2880,1,2,0
2695,22,1096,1,3,0
2695,22,4958,1,4,0
2695,22,3850,0,5,0
2695,22,5223,1,5,1
2695,22,2018,1,6,1
2695,22,3906,1,7,1
2695,22,4297,1,8,1
2695,22,1789,1,9,1
2695,23,1108,1,0,0
2695,23,2009,1,1,0
2695,23,828,1,2,0
2695,23,986,1,3,0
2695,23,87,1,4,0
2695,23,5393,1,5,0
2695,23,6562,1,6,0
2695,23,10169,1,7,0
2695,23,5769,1,8,0
2695,23,15225,1,9,0
2695,1,5951,1,0,0
2695,1,12569,1,1,0
2695,1,11540,1,2,0
2695,1,4242,0,3,0
2695,1,6369,1,3,1
2695,1,11562,1,4,1
2695,1,9238,0,5,1
2695,1,173,1,5,2
2695,1,5360,0,6,2
2695,1,4233,1,6,3
2695,1,11563,1,7,3
2695,1,1954,1,8,3
2695,1,1952,0,9,3
2695,1,4935,1,9,4
2695,1,12965,0,10,4
2695,1,6416,1,10,5
2695,1,5824,1,11,5
2695,1,3883,1,12,5
2695,1,6375,1,13,5
2695,1,3882,1,14,5
2695,1,5807,1,15,5
2695,1,5340,1,16,5
2695,1,3287,1,17,5
2695,1,5144,1,18,5
2695,1,2942,1,19,5
2695,1,5419,0,20,5
2695,1,7721,0,20,6
2695,1,12511,1,20,7
2695,1,1068,1,21,7
2695,1,7719,1,22,7
2695,1,1598,1,23,7
2695,1,2769,1,24,7
2695,3,11948,1,0,0
2695,3,2703,1,1,0
2695,3,9923,0,2,0
2695,3,6385,0,2,1
2695,3,8993,0,2,2
2695,3,8228,1,2,3
2695,3,10944,1,3,3
2695,3,6152,1,4,3
2695,3,4747,1,5,3
2695,3,10706,0,6,3
2695,3,8941,0,6,4
2695,3,8888,1,6,5
1182,57,6558,1,0,0
1182,57,5252,1,1,0
1182,49,7099,0,0,0
1182,48,7099,0,0,0
1182,57,7918,1,2,0
1182,57,897,1,3,0
1182,49,409,0,0,1
1182,48,409,0,0,1
1182,49,410,1,0,2
1182,48,410,1,0,2
1182,49,3251,1,1,2
1182,48,3251,1,1,2
1182,49,6739,0,2,2
1182,48,6739,0,2,2
1182,51,16219,1,0,0
1182,57,16219,1,4,0
1182,51,16207,1,1,0
1182,57,16207,1,5,0
1182,49,6821,0,2,3
1182,48,6821,0,2,3
1182,49,2132,1,2,4
1182,48,2132,1,2,4
1182,49,412,1,3,4
1182,48,412,1,3,4
1182,49,411,0,4,4
1182,48,411,0,4,4
1182,49,1280,1,4,5
1182,48,1280,1,4,5
1182,49,6741,0,5,5
1182,48,6741,0,5,5
1182,57,6824,0,6,0
1182,49,7713,0,5,6
1182,48,7713,0,5,6
1182,57,6742,1,6,1
1182,57,417,1,7,1
1182,48,5794,0,5,7
1182,48,4034,0,5,8
1182,48,4387,0,5,9
1182,48,4035,1,5,10
1182,48,3796,1,6,10
1182,49,5612,1,5,7
1182,48,5612,1,7,10
