user,skill,item,correct,b4_correct,b4_incorrect
2131,12,1254,1,0,0
2131,12,8889,1,1,0
2131,12,9592,1,2,0
2083,26,1558,0,0,0
2083,26,2723,0,0,1
2083,26,2729,0,0,2
2083,26,1207,0,0,3
2083,26,2547,0,0,4
2083,26,1815,1,0,5
2083,26,2719,1,1,5
2083,26,2347,1,2,5
2083,9,10191,1,0,0
2083,23,5973,1,0,0
2083,23,3182,1,1,0
2083,23,10162,1,2,0
2083,23,3496,1,3,0
2083,23,15246,1,4,0
2083,12,4275,0,0,0
2083,12,1513,0,0,1
2083,12,2951,1,0,2
2083,12,4276,1,1,2
2083,12,4238,0,2,2
2083,12,3893,1,2,3
2083,12,11927,1,3,3
2083,12,4244,1,4,3
2083,12,11276,1,5,3
2083,12,1961,0,6,3
2083,12,5262,1,6,4
2083,12,11966,1,7,4
2083,12,6513,1,8,4
2083,12,792,0,9,4
2083,12,2659,1,9,5
2083,12,7728,1,10,5
2083,12,1306,1,11,5
2083,12,6642,0,12,5
2083,22,4746,0,0,0
2083,22,1334,1,0,1
2083,22,74,1,1,1
2083,22,5796,0,2,1
2083,22,2001,1,2,2
2083,22,3624,1,3,2
2083,22,3906,1,4,2
2083,22,3849,1,5,2
2083,22,2823,1,6,2
2083,9,11394,0,1,0
2083,23,11394,0,5,0
2083,9,3910,0,1,1
2083,23,3910,0,5,1
2083,9,6520,0,1,2
2083,23,6520,0,5,2
2083,9,15920,1,1,3
2083,23,15920,1,5,3
2083,9,4961,1,2,3
2083,23,4961,1,6,3
2083,9,12833,1,3,3
2083,23,12833,1,7,3
2083,9,5390,1,4,3
2083,23,5390,1,8,3
2083,9,994,1,5,3
2083,23,994,1,9,3
2083,12,8786,1,12,6
2083,12,11965,1,13,6
2083,12,2396,1,14,6
2083,12,7375,1,15,6
2083,12,1512,1,16,6
2083,12,2258,1,17,6
2083,12,12994,1,18,6
2083,12,2952,1,19,6
2083,12,3607,1,20,6
2083,12,1964,1,21,6
2083,1,6511,0,0,0
2083,1,4230,1,0,1
2083,1,1753,1,1,1
2083,1,4231,1,2,1
2083,17,3455,0,0,0
2083,17,7725,1,0,1
2083,17,12560,1,1,1
2083,17,11464,1,2,1
2083,17,2963,1,3,1
2083,17,6764,1,4,1
2083,1,10538,0,3,1
2083,1,3365,1,3,2
2083,1,5417,1,4,2
2083,1,5501,1,5,2
2083,55,2937,0,0,0
2083,11,2937,0,0,0
2083,11,4063,1,0,1
2083,4,2792,0,0,0
2083,11,2792,0,1,1
2083,55,776,0,0,1
2083,11,776,0,1,2
2083,11,5108,1,1,3
2083,55,13807,0,0,2
2083,11,13807,0,2,3
2083,4,28,0,0,1
2083,11,28,0,2,4
2083,55,13286,0,0,3
2083,11,13286,0,2,5
2083,11,13677,1,2,6
2083,55,2935,0,0,4
2083,11,2935,0,3,6
2083,55,6412,1,0,5
2083,11,6412,1,3,7
2083,11,4449,1,4,7
2083,11,13761,1,5,7
2083,4,5188,0,0,2
2083,11,5188,0,6,7
2083,55,4492,0,1,5
2083,11,4492,0,6,8
2083,55,4531,0,1,6
2083,11,4531,0,6,9
2083,11,5258,1,6,10
2083,55,775,0,1,7
2083,11,775,0,7,10
2083,55,6507,0,1,8
2083,11,6507,0,7,11
2083,55,13733,0,1,9
2083,11,13733,0,7,12
2083,5,751,0,0,0
2083,5,2794,0,0,1
2083,5,5353,1,0,2
2083,5,6458,1,1,2
2083,5,4068,1,2,2
2083,5,4762,1,3,2
2083,5,12597,1,4,2
2083,5,2904,1,5,2
2083,5,9591,1,6,2
2083,5,1536,0,7,2
2083,5,3623,1,7,3
2083,5,9361,1,8,3
2083,5,4093,0,9,3
2083,5,11261,1,9,4
2083,5,2693,0,10,4
2083,5,4744,1,10,5
2083,5,6147,1,11,5
2083,5,4092,1,12,5
2083,5,2981,1,13,5
2083,5,1162,1,14,5
2083,1,5462,1,6,2
2083,1,2942,1,7,2
2083,1,5239,1,8,2
2083,1,5,1,9,2
2083,1,3291,1,10,2
2083,62,661,0,0,0
2083,62,1476,0,0,1
2083,62,12426,0,0,2
2083,62,12427,1,0,3
2083,62,9010,1,1,3
2083,62,642,1,2,3
2083,62,662,1,3,3
2083,62,7816,1,4,3
2141,12,13087,1,0,0
2141,12,41,1,1,0
2141,12,1026,1,2,0
2141,12,44,1,3,0
2141,12,12071,1,4,0
2141,12,958,1,5,0
2141,12,2952,0,6,0
2141,12,1964,0,6,1
2141,12,2403,1,6,2
2141,12,3606,1,7,2
2141,12,1035,1,8,2
2141,12,2257,0,9,2
2141,12,3303,0,9,3
2141,12,2254,0,9,4
2141,12,6642,0,9,5
2141,12,1761,0,9,6
2141,12,1037,0,9,7
2141,12,3895,1,9,8
2141,12,2800,1,10,8
2141,12,2255,0,11,8
2141,12,11927,1,11,9
2141,12,5955,1,12,9
2141,12,1962,1,13,9
2141,12,1514,0,14,9
2141,12,3301,1,14,10
2141,12,4076,0,15,10
2141,12,3892,1,15,11
2141,12,962,0,16,11
2141,12,3449,1,16,12
2141,12,4244,1,17,12
2141,12,966,0,18,12
2141,12,2951,1,18,13
2141,12,4075,1,19,13
2141,12,1031,0,20,13
2141,12,3893,1,20,14
2141,12,7277,1,21,14
2141,12,5832,1,22,14
2141,12,1247,1,23,14
2141,12,3156,1,24,14
2141,12,2285,0,25,14
2141,12,2502,1,25,15
2141,12,4247,1,26,15
2141,12,2501,1,27,15
2141,12,1517,1,28,15
2141,12,1965,0,29,15
2141,12,3157,1,29,16
2141,12,188,1,30,16
2141,12,2259,1,31,16
2141,12,1762,1,32,16
